GEO.id,GEO.id2,GEO.display-label,D001
8600000US27006,27006,ZCTA5 27006,14150
8600000US27007,27007,ZCTA5 27007,2162
8600000US27009,27009,ZCTA5 27009,2647
8600000US27011,27011,ZCTA5 27011,5497
8600000US27012,27012,ZCTA5 27012,25461
8600000US27013,27013,ZCTA5 27013,6057
8600000US27014,27014,ZCTA5 27014,840
8600000US27016,27016,ZCTA5 27016,1936
8600000US27017,27017,ZCTA5 27017,9597
8600000US27018,27018,ZCTA5 27018,7655
8600000US27019,27019,ZCTA5 27019,4032
8600000US27020,27020,ZCTA5 27020,6421
8600000US27021,27021,ZCTA5 27021,18106
8600000US27022,27022,ZCTA5 27022,1560
8600000US27023,27023,ZCTA5 27023,11873
8600000US27024,27024,ZCTA5 27024,2733
8600000US27025,27025,ZCTA5 27025,11138
8600000US27027,27027,ZCTA5 27027,4385
8600000US27028,27028,ZCTA5 27028,25839
8600000US27030,27030,ZCTA5 27030,38374
8600000US27040,27040,ZCTA5 27040,10893
8600000US27041,27041,ZCTA5 27041,7554
8600000US27042,27042,ZCTA5 27042,834
8600000US27043,27043,ZCTA5 27043,6615
8600000US27045,27045,ZCTA5 27045,8536
8600000US27046,27046,ZCTA5 27046,2024
8600000US27047,27047,ZCTA5 27047,1191
8600000US27048,27048,ZCTA5 27048,8609
8600000US27050,27050,ZCTA5 27050,3893
8600000US27051,27051,ZCTA5 27051,7369
8600000US27052,27052,ZCTA5 27052,10624
8600000US27053,27053,ZCTA5 27053,3007
8600000US27054,27054,ZCTA5 27054,2567
8600000US27055,27055,ZCTA5 27055,14200
8600000US27101,27101,ZCTA5 27101,18901
8600000US27103,27103,ZCTA5 27103,33208
8600000US27104,27104,ZCTA5 27104,28485
8600000US27105,27105,ZCTA5 27105,39568
8600000US27106,27106,ZCTA5 27106,45015
8600000US27107,27107,ZCTA5 27107,46963
8600000US27109,27109,ZCTA5 27109,2539
8600000US27110,27110,ZCTA5 27110,2127
8600000US27127,27127,ZCTA5 27127,34138
8600000US27201,27201,ZCTA5 27201,63
8600000US27203,27203,ZCTA5 27203,21108
8600000US27205,27205,ZCTA5 27205,33216
8600000US27207,27207,ZCTA5 27207,3795
8600000US27208,27208,ZCTA5 27208,1676
8600000US27209,27209,ZCTA5 27209,3933
8600000US27212,27212,ZCTA5 27212,2580
8600000US27214,27214,ZCTA5 27214,10294
8600000US27215,27215,ZCTA5 27215,38807
8600000US27217,27217,ZCTA5 27217,36954
8600000US27229,27229,ZCTA5 27229,3929
8600000US27231,27231,ZCTA5 27231,2148
8600000US27233,27233,ZCTA5 27233,3390
8600000US27235,27235,ZCTA5 27235,4136
8600000US27239,27239,ZCTA5 27239,9079
8600000US27242,27242,ZCTA5 27242,2100
8600000US27243,27243,ZCTA5 27243,4337
8600000US27244,27244,ZCTA5 27244,14173
8600000US27248,27248,ZCTA5 27248,4524
8600000US27249,27249,ZCTA5 27249,12486
8600000US27252,27252,ZCTA5 27252,2003
8600000US27253,27253,ZCTA5 27253,29827
8600000US27258,27258,ZCTA5 27258,6006
8600000US27260,27260,ZCTA5 27260,24023
8600000US27262,27262,ZCTA5 27262,23934
8600000US27263,27263,ZCTA5 27263,21414
8600000US27265,27265,ZCTA5 27265,46690
8600000US27278,27278,ZCTA5 27278,24286
8600000US27281,27281,ZCTA5 27281,3100
8600000US27282,27282,ZCTA5 27282,15906
8600000US27283,27283,ZCTA5 27283,3141
8600000US27284,27284,ZCTA5 27284,51136
8600000US27288,27288,ZCTA5 27288,24071
8600000US27291,27291,ZCTA5 27291,1662
8600000US27292,27292,ZCTA5 27292,39787
8600000US27295,27295,ZCTA5 27295,37211
8600000US27298,27298,ZCTA5 27298,10336
8600000US27299,27299,ZCTA5 27299,5190
8600000US27301,27301,ZCTA5 27301,8750
8600000US27302,27302,ZCTA5 27302,26412
8600000US27305,27305,ZCTA5 27305,1685
8600000US27306,27306,ZCTA5 27306,6176
8600000US27310,27310,ZCTA5 27310,6710
8600000US27311,27311,ZCTA5 27311,3402
8600000US27312,27312,ZCTA5 27312,18306
8600000US27313,27313,ZCTA5 27313,6962
8600000US27314,27314,ZCTA5 27314,1051
8600000US27315,27315,ZCTA5 27315,2243
8600000US27316,27316,ZCTA5 27316,6650
8600000US27317,27317,ZCTA5 27317,16959
8600000US27320,27320,ZCTA5 27320,39351
8600000US27325,27325,ZCTA5 27325,6704
8600000US27326,27326,ZCTA5 27326,4008
8600000US27330,27330,ZCTA5 27330,37947
8600000US27332,27332,ZCTA5 27332,30236
8600000US27340,27340,ZCTA5 27340,120
8600000US27341,27341,ZCTA5 27341,5360
8600000US27343,27343,ZCTA5 27343,1716
8600000US27344,27344,ZCTA5 27344,18022
8600000US27349,27349,ZCTA5 27349,5511
8600000US27350,27350,ZCTA5 27350,6530
8600000US27355,27355,ZCTA5 27355,2660
8600000US27356,27356,ZCTA5 27356,3205
8600000US27357,27357,ZCTA5 27357,7894
8600000US27358,27358,ZCTA5 27358,14075
8600000US27360,27360,ZCTA5 27360,46084
8600000US27370,27370,ZCTA5 27370,15052
8600000US27371,27371,ZCTA5 27371,8132
8600000US27376,27376,ZCTA5 27376,9386
8600000US27377,27377,ZCTA5 27377,7104
8600000US27379,27379,ZCTA5 27379,4661
8600000US27401,27401,ZCTA5 27401,21932
8600000US27403,27403,ZCTA5 27403,21958
8600000US27405,27405,ZCTA5 27405,44567
8600000US27406,27406,ZCTA5 27406,56458
8600000US27407,27407,ZCTA5 27407,46242
8600000US27408,27408,ZCTA5 27408,17296
8600000US27409,27409,ZCTA5 27409,15621
8600000US27410,27410,ZCTA5 27410,52388
8600000US27455,27455,ZCTA5 27455,28706
8600000US27501,27501,ZCTA5 27501,17571
8600000US27502,27502,ZCTA5 27502,30831
8600000US27503,27503,ZCTA5 27503,3471
8600000US27504,27504,ZCTA5 27504,14566
8600000US27505,27505,ZCTA5 27505,5896
8600000US27507,27507,ZCTA5 27507,1929
8600000US27508,27508,ZCTA5 27508,2053
8600000US27509,27509,ZCTA5 27509,10167
8600000US27510,27510,ZCTA5 27510,14644
8600000US27511,27511,ZCTA5 27511,32029
8600000US27513,27513,ZCTA5 27513,40755
8600000US27514,27514,ZCTA5 27514,32110
8600000US27516,27516,ZCTA5 27516,36139
8600000US27517,27517,ZCTA5 27517,23346
8600000US27518,27518,ZCTA5 27518,19630
8600000US27519,27519,ZCTA5 27519,39178
8600000US27520,27520,ZCTA5 27520,36357
8600000US27521,27521,ZCTA5 27521,6035
8600000US27522,27522,ZCTA5 27522,12335
8600000US27523,27523,ZCTA5 27523,9552
8600000US27524,27524,ZCTA5 27524,12338
8600000US27525,27525,ZCTA5 27525,13338
8600000US27526,27526,ZCTA5 27526,38894
8600000US27527,27527,ZCTA5 27527,18216
8600000US27529,27529,ZCTA5 27529,42128
8600000US27530,27530,ZCTA5 27530,40117
8600000US27531,27531,ZCTA5 27531,594
8600000US27534,27534,ZCTA5 27534,31364
8600000US27536,27536,ZCTA5 27536,17289
8600000US27537,27537,ZCTA5 27537,24319
8600000US27539,27539,ZCTA5 27539,18692
8600000US27540,27540,ZCTA5 27540,29363
8600000US27541,27541,ZCTA5 27541,3770
8600000US27542,27542,ZCTA5 27542,9133
8600000US27544,27544,ZCTA5 27544,4449
8600000US27545,27545,ZCTA5 27545,23006
8600000US27546,27546,ZCTA5 27546,19471
8600000US27549,27549,ZCTA5 27549,24112
8600000US27551,27551,ZCTA5 27551,1962
8600000US27553,27553,ZCTA5 27553,2937
8600000US27555,27555,ZCTA5 27555,441
8600000US27556,27556,ZCTA5 27556,346
8600000US27557,27557,ZCTA5 27557,7509
8600000US27559,27559,ZCTA5 27559,2288
8600000US27560,27560,ZCTA5 27560,22623
8600000US27562,27562,ZCTA5 27562,1938
8600000US27563,27563,ZCTA5 27563,5008
8600000US27565,27565,ZCTA5 27565,25255
8600000US27568,27568,ZCTA5 27568,480
8600000US27569,27569,ZCTA5 27569,8022
8600000US27571,27571,ZCTA5 27571,3893
8600000US27572,27572,ZCTA5 27572,6546
8600000US27573,27573,ZCTA5 27573,11414
8600000US27574,27574,ZCTA5 27574,14373
8600000US27576,27576,ZCTA5 27576,17091
8600000US27577,27577,ZCTA5 27577,22911
8600000US27581,27581,ZCTA5 27581,3049
8600000US27582,27582,ZCTA5 27582,289
8600000US27583,27583,ZCTA5 27583,6921
